Name,Call Count,Time (ms),Own Time (ms)
<listcomp,25000000,96774,96774
generate_file,5000,138810,29994
,25005008,10017,10017
,25000000,2023,2023
,5000,1447,1447
measure_time,15001,143225,991
save_file,5000,2995,807
,5001,740,700
,20001,262,262
generate_and_save,5000,142923,62
join,5000,64,42
,30002,23,23
,5000,20,20
main,1,143225,15
getpreferredencoding,5000,33,13
__init__,5000,7,7
_get_sep,5001,11,5
,5003,5,5
,5004,4,4
,5000,3,3
,5001,1,1
,1,143226,0
time_fn,4,0,0
,1,0,0
find_spec,1,0,0
update_wrapper,4,0,0
wraps,4,0,0
makedirs,1,0,0
split,1,0,0
isdir,1,0,0
create_module,1,0,0
exec_module,1,0,0
get_code,1,0,0
__init__,1,0,0
get_filename,1,0,0
get_data,1,0,0
path_stats,1,0,0
_path_importer_cache,1,0,0
_get_spec,1,0,0
find_spec,1,0,0
_get_spec,1,0,0
find_spec,1,0,0
__enter__,1,0,0
__exit__,1,0,0
cb,1,0,0
_get_module_lock,1,0,0
_call_with_frames_removed,1,0,0
_verbose_message,7,0,0
__init__,1,0,0
__enter__,1,0,0
,4,0,0
__exit__,1,0,0
_r_long,2,0,0
__init__,1,0,0
cached,2,0,0
parent,1,0,0
has_location,1,0,0
,6,0,0
_init_module_attrs,1,0,0
module_from_spec,1,0,0
_load_unlocked,1,0,0
find_spec,1,0,0
_path_join,6,0,0
find_spec,1,0,0
__enter__,4,0,0
__exit__,4,0,0
_path_split,2,0,0
_find_spec,1,0,0
_find_and_load_unlocked,1,0,0
_find_and_load,1,0,0
_handle_fromlist,4,0,0
_path_stat,3,0,0
_path_is_mode_type,1,0,0
_path_isfile,1,0,0
cache_from_source,2,0,0
_get_cached,1,0,0
_check_name_wrapper,1,0,0
_validate_bytecode_header,1,0,0
_compile_bytecode,1,0,0
spec_from_file_location,1,0,0
_new_module,1,0,0
__init__,1,0,0
acquire,1,0,0
release,1,0,0
_relax_case,1,0,0
__init__,1,0,0
,1,0,0
,1,0,0
,4,0,0
,1,0,0
,2,0,0
,2,0,0
,1,0,0
,6,0,0
,6,0,0
,1,0,0
,1,0,0
,1,0,0
,1,0,0
,34,0,0
,7,0,0
,4,0,0
,20,0,0
,1,0,0
,14,0,0
,7,0,0
,2,0,0
,4,0,0
,2,0,0
